id	url	name	name	street_address	locality	region	postal_code	acres	counties	adopted_2017_standards_&_practices	number_of_board_members	number_of_full_time_staff	number_of_supporters	number_of_volunteers	year_first_joined	features
crested-butte-land-trust-co	https://findalandtrust.org/land-trusts/explore/crested-butte-land-trust-co	Crested Butte Land Trust	Crested Butte Land Trust	PO Box 2224 308 Third St	Crested Butte	CO	81224-2224	6,000	Gunnison	Yes	13	6	2,500	100	1991	Trails|Public Access|Volunteer Opportunities|Agricultural Land|Forests|Wildlife Habitat
princeton-land-trust-ma	https://findalandtrust.org/land-trusts/explore/princeton-land-trust-ma	Princeton Land Trust	Princeton Land Trust	PO Box 271	Princeton	MA	01541-0271	307	Worcester	Yes	14		100	10	1997	Public Access|Volunteer Opportunities
shirley-heinze-land-trust-inc-in	https://findalandtrust.org/land-trusts/explore/shirley-heinze-land-trust-inc-in	Shirley Heinze Land Trust, Inc.	Shirley Heinze Land Trust, Inc.	109 West 700 North	Valparaiso	IN	46385-8581	2,719	Lake, La Porte, Marshall, Porter, St. Joseph, Starke	Yes	17	7	618	153	1991	Trails|Public Access|Volunteer Opportunities|Agricultural Land|Forests|Wildlife Habitat
atascadero-land-preservation-society-ca	https://findalandtrust.org/land-trusts/explore/atascadero-land-preservation-society-ca	Atascadero Land Preservation Society						125	San Luis Obispo	Yes	12		100	30	1991	Public Access|Volunteer Opportunities
jericho-underhill-land-trust-vt	https://findalandtrust.org/land-trusts/explore/jericho-underhill-land-trust-vt	Jericho Underhill Land Trust	Jericho Underhill Land Trust	PO Box 80	Jericho	VT	05465-0080	1,121	Chittenden	Yes	8		700	20	1998	Public Access|Volunteer Opportunities
richmond-land-trust-ma	https://findalandtrust.org/land-trusts/explore/richmond-land-trust-ma	Richmond Land Trust	Richmond Land Trust	PO Box 21	Richmond	MA	01254-0021	6,544	Berkshire	Yes	16		115	20	1991	Trails|Public Access|Volunteer Opportunities|Forests
great-barrington-land-conservancy-ma	https://findalandtrust.org/land-trusts/explore/great-barrington-land-conservancy-ma	Great Barrington Land Conservancy						398	Berkshire	Yes			200	25	1991	Volunteer Opportunities
ridge-and-valley-conservancy-nj	https://findalandtrust.org/land-trusts/explore/ridge-and-valley-conservancy-nj	Ridge and Valley Conservancy	Ridge and Valley Conservancy	PO Box 146	Blairstown	NJ	07825-0146	4,559	Sussex, Warren	Yes	8	2	250	20	1991	Trails|Public Access|Volunteer Opportunities|Agricultural Land|Forests|Wildlife Habitat
teton-regional-land-trust-id	https://findalandtrust.org/land-trusts/explore/teton-regional-land-trust-id	Teton Regional Land Trust	Teton Regional Land Trust	PO Box 247 1520 S 500 W	Driggs	ID	83422-0247	36,949	Bonneville, Butte, Clark, Fremont, Jefferson, Madison, Teton	Yes	20	10	509	50	1992	Public Access|Volunteer Opportunities|Agricultural Land|Forests|Wildlife Habitat
montour-trail-council-pa	https://findalandtrust.org/land-trusts/explore/montour-trail-council-pa	Montour Trail Council	Montour Trail Council	304 Hickman St Ste 3	Bridgeville	PA	15017-1852	573	Allegheny, Washington	Yes			950	50	2000	Public Access|Volunteer Opportunities
